iter	Passed	Remaining
0	160	160365
1	320	159856
2	369	122920
3	554	138130
4	744	148134
5	875	145117
6	1047	148626
7	1087	134868
8	1251	137838
9	1425	141141
10	1466	131825
11	1636	134736
12	1680	127606
13	1822	128384
14	1935	127125
15	2087	128378
16	2267	131103
17	2433	132767
18	2519	130077
19	2583	126597
20	2755	128437
21	2940	130721
22	3164	134426
23	3325	135233
24	3496	136369
25	3661	137164
26	3832	138108
27	3996	138745
28	4103	137380
29	4262	137826
30	4438	138725
31	4613	139547
32	4798	140599
33	4991	141825
34	5193	143195
35	5387	144269
36	5557	144646
37	5729	145050
38	5898	145336
39	6065	145580
40	6242	146015
41	6420	146437
42	6597	146825
43	6752	146724
44	6908	146604
45	7067	146570
46	7255	147112
47	7338	145540
48	7587	147259
49	7777	147774
50	7958	148083
51	8154	148663
52	8328	148804
53	8497	148858
54	8729	149985
55	8930	150544
56	9114	150795
57	9294	150953
58	9487	151312
59	9697	151932
60	9886	152186
61	10070	152351
62	10235	152231
63	10410	152259
64	10586	152286
65	10793	152747
66	10977	152864
67	11178	153211
68	11357	153247
69	11532	153212
70	11702	153123
71	11900	153383
72	12057	153118
73	12230	153050
74	12423	153227
75	12584	153005
76	12759	152944
77	12928	152816
78	13123	152997
79	13280	152727
80	13470	152829
81	13583	152066
82	13770	152136
83	13854	151075
84	14056	151318
85	14229	151227
86	14294	150013
87	14472	149982
88	14678	150249
89	14872	150374
90	15045	150290
91	15225	150270
92	15411	150301
93	15596	150327
94	15763	150164
95	15935	150056
96	16156	150406
97	16348	150476
98	16526	150410
99	16711	150406
100	16890	150345
101	17139	150891
102	17323	150865
103	17519	150935
104	17611	150114
105	17788	150027
106	17954	149841
107	18061	149170
108	18225	148980
109	18430	149116
110	18604	149002
111	18771	148828
112	18949	148747
113	19114	148556
114	19310	148610
115	19495	148570
116	19655	148343
117	19834	148255
118	19923	147503
119	20092	147343
120	20270	147251
121	20443	147126
122	20581	146746
123	20666	145996
124	20822	145758
125	21002	145682
126	21137	145299
127	21339	145376
128	21515	145271
129	21671	145033
130	21832	144829
131	22002	144686
132	22173	144541
133	22282	144003
134	22436	143762
135	22530	143133
136	22710	143056
137	22919	143163
138	23072	142913
139	23259	142882
140	23433	142760
141	23585	142507
142	23760	142397
143	23851	141782
144	24047	141799
145	24230	141731
146	24390	141531
147	24577	141486
